出貨/銷退日(C10) | Shipment/Return Date (C10),客戶編號 | Customer Number,產品料號 | Product part number,淨銷售量(交易) | Net sales volume (transactions),Net sales (local currency/excluding tax)
02/01/2024,A1173,A0101009,2,4100
02/01/2024,A1173,A0102009,2,2800
02/01/2024,A1173,B0401001,2,720
02/01/2024,A1173,I0101001,1,4800
02/01/2024,A1173,I0101007,1,4800
02/01/2024,A1173,I0404007,2,540
02/01/2024,A1173,I0599021,2,900
02/01/2024,A1173,I0599022,2,1100
02/01/2024,A1173,L0102003,6,1170
02/01/2024,A1174,B0401001,12,4320
02/01/2024,A1174,D0104002,20,720
02/01/2024,A1174,D0199020,1,187
02/01/2024,A1174,D0199024,1,260
02/01/2024,A1174,H0305003,5,1900
02/01/2024,A1174,R1109,0,0
02/01/2024,A1180,B0401001,4,1680
02/01/2024,A1192,I0404030,10,4500
02/01/2024,A1192,I0404037,2,580
02/01/2024,A1195,I0599002,3,1116
02/01/2024,A1195,R1108,0,0
02/01/2024,A1210,I0404007,6,1560
02/01/2024,A1210,I0404016,10,5600
02/01/2024,B1209,A0101003,8,10960
02/01/2024,B1209,C0199021,2,4200
02/01/2024,B1209,D9999005,1,840
02/01/2024,B1209,I0199006,1,600
02/01/2024,B1209,I0507002,2,520
02/01/2024,B1209,J0399049,1,760
02/01/2024,B1209,K0101035,4,620
02/01/2024,B1209,L0199008,1,1750
02/01/2024,B1223,A0101001,3,4029
02/01/2024,B1223,A0101013,1,1950
02/01/2024,B1223,A0314001,2,40
02/01/2024,B1223,A0399049,1,240
02/01/2024,B1223,B0199009,10,8400
02/01/2024,B1223,C0104028,1,1450
02/01/2024,B1223,D0103004,2,38
02/01/2024,B1223,D0206001,1,1190
02/01/2024,B1223,G0103001,1,850
